GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1220204263,20250112,202501,2025,2025.0329,BEN,COTONOU,BEN,,,,,,,,GOV,MAYOR,,,,,,GOV,,,1,040,040,04,1,1.0,10,1,10,1.82926829268293,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112210000,https://www.bahianoticias.com.br/noticia/300229-prefeito-bruno-reis-encerra-visita-ao-benin-com-avancos-em-cooperacao-cultural-e-comercial
1220201930,20250112,202501,2025,2025.0329,IMGMOSALQ,AL QAEDA,,ALQ,,MOS,,IMG,,,BEN,BENIN,BEN,,,,,,,,0,190,190,19,4,-10.0,10,1,10,-7.09219858156028,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112203000,https://fr.apanews.net/news/benin-la-cedeao-condamne-une-attaque-meurtriere-dans-le-nord-du-pays/
1220182635,20250112,202501,2025,2025.0329,REB,REBEL,,,,,,REB,,,COD,DR CONGO,COD,,,,,,,,1,050,050,05,1,3.5,5,1,5,-1.74418604651163,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112171500,https://theeagleonline.com.ng/primate-ayodeles-2025-prophecies-for-namibia-kenya-benin-uganda-ethiopia-others/
1220203931,20250112,202501,2025,2025.0329,MIL,MILITARY OFFICIAL,,,,,,MIL,,,,,,,,,,,,,1,010,010,01,1,0.0,10,1,10,-7.71084337349398,4,"Karimama, Alibori, Benin",BN,BN07,5864,12.0691,3.18405,-1334168,0,,,,,,,,4,"Karimama, Alibori, Benin",BN,BN07,5864,12.0691,3.18405,-1334168,20250112211500,https://thepeninsulaqatar.com/article/12/01/2025/al-qaeda-linked-militant-group-claims-deadly-benin-attack
1220192015,20250112,202501,2025,2025.0329,GOV,GOVERNMENT,,,,,,GOV,,,,,,,,,,,,,1,043,043,04,1,2.8,5,1,5,-3.77358490566037,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112190000,https://dailypost.ng/2025/01/12/house-wife-arrested-for-allegedly-inflicting-injury-on-minors-private-part/
1220170522,20250112,202501,2025,2025.0329,REL,RELIGION,,,,,,,,,BEN,BENIN,BEN,,,,,,,,1,042,042,04,1,1.9,8,1,8,-1.52439024390244,1,United States,US,US,,39.828175,-98.5795,US,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,4,"Ouidah, Atlantique, Benin",BN,BN09,5879,6.36307,2.08506,-1335504,20250112151500,https://www.africanews.com/2025/01/12/benin-celebrates-vodun-to-reclaim-cultural-identity/
1220192085,20250112,202501,2025,2025.0329,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,,,,,,,,,,,0,190,190,19,4,-10.0,10,1,10,-2.97619047619047,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20250112190000,https://punchng.com/ecowas-condemns-deadly-attacks-in-benin-expresses-solidarity/
1220134953,20250112,202501,2025,2025.0329,FRA,FRANCE,FRA,,,,,,,,TCD,CHAD,TCD,,,,,,,,1,080,080,08,2,5.0,10,1,10,-4.4548651817116,4,"Nioro, Benin (general), Benin",BN,BN00,5872,10.1966,1.5994,-1335267,4,"Nioro, Benin (general), Benin",BN,BN00,5872,10.1966,1.5994,-1335267,4,"Nioro, Benin (general), Benin",BN,BN00,5872,10.1966,1.5994,-1335267,20250112084500,https://fr.allafrica.com/stories/202501120001.html
1220130497,20250112,202501,2025,2025.0329,,,,,,,,,,,BENMIL,BENINESE,BEN,,,,,MIL,,,1,190,190,19,4,-10.0,6,1,6,-7.22891566265062,0,,,,,,,,5,"Alibori, Alibori, Benin",BN,BN07,5865,11.3333,2.91667,9145861,5,"Alibori, Alibori, Benin",BN,BN07,5865,11.3333,2.91667,9145861,20250112081500,http://www.businessghana.com/site/news/politics/320887/Beninese-army-suffers-
1220110608,20250112,202501,2025,2025.0329,FRA,FRANCE,FRA,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,075,075,07,2,7.0,1,1,1,-0.58027079303675,1,France,FR,FR,,46.0,2.0,FR,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20250112031500,https://www.cinemablend.com/movies/oscar-nominee-djimon-hounsou-real-about-financial-struggles-diversity-equity-hollywood
