Topic,Words,Frequency,Timestamp
-1,"du, et, le, des, la",11,2025-12-03
0,"gaps, bridge, phc, bank, basic",1,2025-12-03
16,"sofitel, sofitel cotonou, partnership, cotonou, hotel",2,2025-12-03
17,"pdp, destruction, legacy, edo pdp, projects",4,2025-12-03
36,"jeff, walks, red, , ",15,2025-12-03
-1,"god, grace, 3rd, anniversary, com",5,2025-12-13
2,"hotel, accuses, campaign, obaseki, linkname",2,2025-12-13
3,"ms, idahosa, law, physically, okpebholo",2,2025-12-13
4,"assembly, edo assembly, job, minutes ago, committee",6,2025-12-13
5,"vice chancellor, chancellor, vc, university, vice",7,2025-12-13
8,"la, aspect, les, islam, le",1,2025-12-13
20,"arise, burkina faso, nigerian, burkina, faso",2,2025-12-13
23,"sierra, sierra leone, leone, julius, mowaa",1,2025-12-13
-1,"ambassadorial, petition, nominees, senate, petitions",1,2025-12-14
0,"gaps, bridge, phc, bank, basic",13,2025-12-14
2,"grieving, son, seizing, mother, killed",1,2025-12-14
3,"delivery, health, service delivery, service, commission",4,2025-12-14
5,"esama, edo, oba, edo state, nuj",4,2025-12-14
6,"ville, la ville, ouidah, ville ouidah, la",1,2025-12-14
13,"art, artistic, dahomey, artists, digital",1,2025-12-14
15,"burkina, burkina faso, faso, nigerian, nigeria",8,2025-12-14
31,"father, balance, demanding, taking, kidnappers",10,2025-12-14
-1,"guard, talon, lost, national guard, coup",8,2025-12-19
3,"health, deputy governor, idahosa, deputy, areas",5,2025-12-19
8,"__, coups, coup, military, officers",3,2025-12-19
13,"dahomey, la, cinéma, artifacts, avait",1,2025-12-19
15,"akpabio, budget, sell, presentation, lawmakers",3,2025-12-19
-1,"talon, coup, candide, coup attempt, accuse",10,2025-12-20
1,"young, brand, ambassador, signs, africa",14,2025-12-20
5,"mortuary, family, taken, telegram, ikoedem",3,2025-12-20
6,"20, 82, 81, по, 80",1,2025-12-20
14,"political, idahosa, sub zero, naija247news, zero",1,2025-12-20
15,"democracy, cent, citizens, military, region",1,2025-12-20
18,"la, putsch, le, la tentative, tentative",5,2025-12-20
35,"news, nigeria news, nigerian, post, coup",1,2025-12-20
37,"tendances, diplomatie, france, plus, en",4,2025-12-20
17,"turji, bello turji, panic, bello, frequently",1,2025-12-22
-1,"terrorism, trial, fast track, counter, track",1,2025-12-23
2,"advice, couple, charge, murder, linkname",2,2025-12-24
3,"projects, life changing, projects edo, changing, delivering",4,2025-12-24
8,"et, la, des, du, le",3,2025-12-24
-1,"del, se, la, le, des",1,2025-12-25
6,"של, את, הרב, עם, בו",1,2025-12-25
11,"pakistan, defense, missiles, tests, aircraft",3,2025-12-25
15,"nigeria, junta, intervention, coup, democracy",3,2025-12-25
16,"hotel, sofitel, sofitel cotonou, cotonou, marina",3,2025-12-25
29,"été, les, mali, la, et",2,2025-12-25
39,"journaliste, allafrica, le, la, olivier",1,2025-12-25
29,"les, et, la, le, une",2,2025-12-26
-1,"le, la, africans, african, du",7,2025-12-27
0,"gaps, bridge, phc, bank, basic",2,2025-12-27
1,"visas, global, visa, digital, job",2,2025-12-27
5,"akume, queen, quietly, professeur, profession",2,2025-12-27
6,"army, fallen, families, soldiers, christmas",5,2025-12-27
14,"que nous, nous, site, que, le site",1,2025-12-27
15,"el, los, que, estado, las",2,2025-12-27
16,"21, 51, 2025 10, 12 2025, 38",3,2025-12-27
17,"pa, oshiomhole, lagos, labour, burial",2,2025-12-27
29,"la, le, une, les, été",6,2025-12-27
-1,"el, estado, se, que, en el",1,2025-12-28
1,"été, ont été, la, des, ont",1,2025-12-28
5,"seyi, wife, tinubu, title, yoruba",2,2025-12-28
25,"nscdc, suspect, oil, niger, allegations",4,2025-12-31
29,"le, est, la, sénégal, et",5,2025-12-31
