GLOBALEVENTID,SQLDATE,SOURCEURL,text
1298901629,2025-04-13,https://allafrica.com/stories/202604130011.html,"## Benin Votes for New President Amid 'Severe Restrictions' On Civil Liberties

[]()

[]()

© RFI

Benin (file photo).

12 April 2026

 Radio France Internationale 

By Melissa Chemam

_Benin's election this Sunday will decide who takes over from President Patrice Talon after a decade in power. With only two candidates running and authorities clamping down on critics, the prospects for change are limited._

After two five-year terms in office, Talon is barred by the constitution from standing again.

The favourite to replace him is the ruling coalition's candidate, Romuald Wadagni. Currently finance minister, he is credited with helping bring about the strong economic growth Benin has recorded over the past 10 years.

Wadagni's only opponent is Paul Hounkpe, the leader of relatively small opposition party FCBE and a former culture minister.

Follow us on WhatsApp | LinkedIn for the latest headlines 

Benin's main opposition party, the Democrats, is not on the ballot after failing to get enough lawmakers to endorse him to run.

The party lost all its seat in parliament in elections in January, the month after an attempted coup was stopped from overthrowing Talon.

Benin heads to polls after failed coup shakes political landscape

Shrinking civic space

The coup attempt triggered ""severe restricti"
1297200929,2025-04-01,https://www.mediapool.bg/vissh-amerikanski-sluzhitel-tvardi-che-e-bil-teleportiran-v-zakusvalnya-news381918.html,"Споделяне

Грег Филипс, снимка Getty images 

Висш служител от федералната администрация, отговарящ за реакцията при бедствия, използва социалните мрежи, за да обяви категоричното си убеждение, че е преживявал ""телепортация"".

Грег Филипс настоява, че преживяването е било реално и свързано с религиозните му убеждения. ""Хейтърите винаги ще хейтят"", написа в началото на месеца Филипс, който заема висок пост във Федералната агенция за управление на извънредни ситуации (FEMA).

В друга публикация под формата на поема, в която се споменава възкресението на Исус Христос и се критикуват хората, осмиващи неразбраното от тях, той добавя: ""Знам какво съм преживял“.

По-рано CNN съобщи, че в подкаст от миналата година Филипс описва няколко случая, в които внезапно се е озовавал на километри разстояние.

При един от случаите той твърди, че се е телепортирал до заведение от веригата Waffle House (Къщата на гофретите), намиращо се на около 80 км от първоначалното му местоположение.

Филипс има история и с използването на агресивна реторика към държавни фигури. В миналогодишен запис той заявява, че би искал да удари в лицето ”тази кучка“, визирайки току-що напусналия поста си президент Джо Байдън, добавяйки, че той ""заслужава да умре"".

В друг епизод Филипс предупреждава гражданите да се въоръжават, твърдейки, че мигрантите идват, за да избиват американци.

Назначаването на Филипс първоначално бе посрещнато със скептицизъм от професионалистите във FEMA поради липсата му на опит и минали изказвания, разпространяващи конспиративни теории за изборни измами. Въпреки това някои служители споделиха пред CNN, че работата му по време на големи природни бедствия е разсеяла част от тези опасения.

Новите коментари на Филипс идват в момент, когато той бе изваден от графика за изслушване в Комисията по вътрешна сигурност към Конгреса. Нито той, нито агенцията отговориха на запитванията защо не се е явил на заседанието.

В платформата Truth Social Филипс описа телепортациите като част от ”духо"
1291145694,2025-02-26,https://www.nigerianeye.com/2026/02/edo-attack-peter-obi-should-have.html,"##### BREAKING NEWS

Breaking 

 * []( ""twitter"")
 * []( ""facebook"")
 * []( ""instagram"")

# 

## 728x90

. 

## 468x60

## Main Menu

 * Advertise
 * About Us
 * Politics
 * Latest News In Nigeria
 * Entertainment
 * Sports
 * Metro
 * World
 * Money Market

 Home Latest News in Nigeria Edo Attack: Peter Obi Should Have Informed Us Before Coming – Commissioner 

# Edo Attack: Peter Obi Should Have Informed Us Before Coming – Commissioner 

__DERA \- __Thursday, February 26, 2026

[](-vgzDjLvVfV1Ml8hH63HdR8oe8OYvmqPt83bxcM1U2x8wgVdwtRgnBWKXN9ybtNxf_MCWZyEchG6c4yws-SbbQgCxxfHeSqdewb08Rz1m1Ew_fYzFGCRJaK2V8aeyt7TqfVkZNjMLf4ABM3lv3UJrFMF2f_0z8/s720/20260225_082354.jpg)

Edo State Commissioner for Information, Kassim Afegbua, has stated that former Labour Party presidential candidate Peter Obi should have notified the state government before visiting Edo State, amid reactions to a recent gun attack on him and other African Democratic Congress (ADC) leaders.

Speaking on Channels Television's Politics Today programme, Afegbua reacted to the incident described by some as an assassination attempt, which occurred on Tuesday in Benin City during an ADC event.

He clarified a statement made by Governor Monday Okpebholo in July last year, saying it had been misinterpreted as a demand for clearance. 

“Peo"
1292975459,2025-03-07,http://www.nigeriasun.com/news/278907556/benin-and-nigeria-join-forces-to-fight-growing-cross-border-terrorism,"## Benin and Nigeria join forces to fight growing cross-border terrorism

RFI 
07 Mar 2026, 18:21 GMT+10 

High-ranking military officials in charge of counterterrorism operations inBeninandNigeriamet in Cotonou on 27 February to discuss future cooperation, alongside French representatives.

The plan includes the coordination of border patrols,joint operations, intelligence sharing and increased monitoring of cross-border flows, which are to be discussed further later this month.

For Hni Nsaibia, senior West Africa analyst at the Armed Conflict Location and Event Data group (ACLED), the collaboration is ""a step in the right direction"" for tackling the rise in violence.

The border area between Benin, Niger and Nigeria has become a new focus of jihadist violence since 2025, Nsaibiasaid.

""Due to very weak border security and coordination between concerned states, seeing Benin and Nigeria reinforcing their cooperation is particularly relevant,"" he told RFI.

According to hisresearchfor ACLED, the number of incidents involving jihadist groups in Benin's Alibori and Borgou departments, Dosso in Niger, and Nigeria's Sokoto, Kebbi, Niger and Kwara states rose by 86 percent between 2024 and 2025. Resulting deaths soared by 262 percent.

## Growing footprint

Jihadist groups Jamaat Nusrat al-Islam wal-Muslimin (JNIM) and the Islamic State in the Sahel have long been concentrated in theSahelcountries of Mali, Burkina Faso and Niger, but are now spreading to West Africa's coastal countries.

""Sahelian jihadist militants have escalated, entrenched and increasingly broadcast their footprint,"" Nsaibia wrote in a recentanalysis.

Founded inMaliin 2017, JNIM is now the main jihadist group in the central Sahel. Since 2019, the al-Qaeda affiliate has also been carrying out attacks in countries along the Gulf of Guinea, including Cote dIvoire, Benin andTogo.

Last year, JNIM also claimed responsibility for the first time for an attack on Nigerian soil, Nsaibia noted.

This increas"
1281664740,2025-12-31,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,"# Koulibaly : « La RDC va faire des ravages, j’en suis convaincu »

__31 décembre 2025 __Rewmi.com

Partager 

 * __ Facebook
 * __ Twitter
 * __ LinkedIn

Capitaine des Lions, Kalidou Koulibaly s’est exprimé après la victoire du Sénégal face au Bénin (3-0), un match marqué par son expulsion mais surtout par une qualification en tête du groupe. Le défenseur central a relativisé son carton rouge, préférant retenir l’essentiel : l’objectif collectif atteint.

« Oui, j’ai pris un carton rouge, c’est vrai. Mais pour ce centième match en sélection, le plus beau cadeau, ce sont les joueurs qui me l’ont offert avec cette qualification à la première place », a-t-il confié. Un objectif assumé dès le départ, malgré les doutes apparus après le match nul face à la RDC. Pour Koulibaly, ces critiques étaient prématurées. « C’est dommage que certains aient douté après ce nul contre une grande équipe du Congo. Ils l’ont encore prouvé en battant le Botswana 3-0. La RDC va faire des ravages, j’en suis convaincu. »

Le capitaine sénégalais a salué la prestation collective, notamment la maîtrise affichée malgré l’infériorité numérique après son expulsion. « Malgré mon carton rouge, je pense qu’on a gardé le contrôle du match. On a montré du caractère et de bonnes choses. Dans cette Coupe d’Afrique, tout peut arriver, mais aujourd’hui on a répondu présent. »

Revenant sur un souvenir personnel douloureux face au Bénin, où un carton l’avait pr"
1281675550,2025-12-31,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,"A suspected oil installation vandal identified as Ossa Wilfred has been arrested by operatives of the Edo State Command of the Nigeria Security and Civil Defence Corps, NSCDC.

DAILY POST reports that the State Commandant of the agency, Akintayo Saidi Ayinla, disclosed this while parading the suspect on Wednesday, December 31, 2025, in Benin City.

Ayinla alleged that the suspect – a casual worker with Gladtrico Company – was arrested on December 25 2025, at about 2:00 pm in connection with the destruction of oil installations at OML 98, Ossiomo Manifold, Ikpoba-Okha Local Government Area of Edo State.

He said the suspect was arrested by operatives of the NSCDC Patrol Team along the CS1 route, Ologbo, while allegedly vandalising an oil wellhead.

The Edo State NSCDC boss who added that three suspects were involved in the criminal act, explained that upon sighting the NSCDC patrol van and the firing of a warning shot, two of the suspects fled the scene, while Ossa Wilfred was apprehended.

Ayinla added that preliminary investigation revealed that one of the fleeing suspects is identified as Kelvin, a casual worker with Lee Engineering at CS1 and a member of the host community.

He also added that a third suspect is believed to be a community member from Ologbo.

He disclosed that efforts are ongoing to apprehend the fleeing suspects and that all those found culpable will be charged to court upon the conclusion of investigation.

Ayinla further stated that the suspect, alongside exhibits recovered at the scene, has been transferred to the State Command for detailed investigation.

He issued a stern warning to economic saboteurs, vandals, and all individuals involved in the destruction of critical national assets to have a change of mind or face the full weight of the law.

Ayinla reaffirmed the Corps’ unwavering commitment to the protection of oil and gas facilities and other critical national infrastructure across Edo State.

The NSCDC commandant also called on host"
1281675733,2025-12-31,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,"A suspected oil installation vandal identified as Ossa Wilfred has been arrested by operatives of the Edo State Command of the Nigeria Security and Civil Defence Corps, NSCDC.

DAILY POST reports that the State Commandant of the agency, Akintayo Saidi Ayinla, disclosed this while parading the suspect on Wednesday, December 31, 2025, in Benin City.

Ayinla alleged that the suspect – a casual worker with Gladtrico Company – was arrested on December 25 2025, at about 2:00 pm in connection with the destruction of oil installations at OML 98, Ossiomo Manifold, Ikpoba-Okha Local Government Area of Edo State.

He said the suspect was arrested by operatives of the NSCDC Patrol Team along the CS1 route, Ologbo, while allegedly vandalising an oil wellhead.

The Edo State NSCDC boss who added that three suspects were involved in the criminal act, explained that upon sighting the NSCDC patrol van and the firing of a warning shot, two of the suspects fled the scene, while Ossa Wilfred was apprehended.

Ayinla added that preliminary investigation revealed that one of the fleeing suspects is identified as Kelvin, a casual worker with Lee Engineering at CS1 and a member of the host community.

He also added that a third suspect is believed to be a community member from Ologbo.

He disclosed that efforts are ongoing to apprehend the fleeing suspects and that all those found culpable will be charged to court upon the conclusion of investigation.

Ayinla further stated that the suspect, alongside exhibits recovered at the scene, has been transferred to the State Command for detailed investigation.

He issued a stern warning to economic saboteurs, vandals, and all individuals involved in the destruction of critical national assets to have a change of mind or face the full weight of the law.

Ayinla reaffirmed the Corps’ unwavering commitment to the protection of oil and gas facilities and other critical national infrastructure across Edo State.

The NSCDC commandant also called on host"
1281664663,2025-12-31,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,"# Koulibaly : « La RDC va faire des ravages, j’en suis convaincu »

__31 décembre 2025 __Rewmi.com

Partager 

 * __ Facebook
 * __ Twitter
 * __ LinkedIn

Capitaine des Lions, Kalidou Koulibaly s’est exprimé après la victoire du Sénégal face au Bénin (3-0), un match marqué par son expulsion mais surtout par une qualification en tête du groupe. Le défenseur central a relativisé son carton rouge, préférant retenir l’essentiel : l’objectif collectif atteint.

« Oui, j’ai pris un carton rouge, c’est vrai. Mais pour ce centième match en sélection, le plus beau cadeau, ce sont les joueurs qui me l’ont offert avec cette qualification à la première place », a-t-il confié. Un objectif assumé dès le départ, malgré les doutes apparus après le match nul face à la RDC. Pour Koulibaly, ces critiques étaient prématurées. « C’est dommage que certains aient douté après ce nul contre une grande équipe du Congo. Ils l’ont encore prouvé en battant le Botswana 3-0. La RDC va faire des ravages, j’en suis convaincu. »

Le capitaine sénégalais a salué la prestation collective, notamment la maîtrise affichée malgré l’infériorité numérique après son expulsion. « Malgré mon carton rouge, je pense qu’on a gardé le contrôle du match. On a montré du caractère et de bonnes choses. Dans cette Coupe d’Afrique, tout peut arriver, mais aujourd’hui on a répondu présent. »

Revenant sur un souvenir personnel douloureux face au Bénin, où un carton l’avait pr"
1281665043,2025-12-31,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/,"# Koulibaly : « La RDC va faire des ravages, j’en suis convaincu »

__31 décembre 2025 __Rewmi.com

Partager 

 * __ Facebook
 * __ Twitter
 * __ LinkedIn

Capitaine des Lions, Kalidou Koulibaly s’est exprimé après la victoire du Sénégal face au Bénin (3-0), un match marqué par son expulsion mais surtout par une qualification en tête du groupe. Le défenseur central a relativisé son carton rouge, préférant retenir l’essentiel : l’objectif collectif atteint.

« Oui, j’ai pris un carton rouge, c’est vrai. Mais pour ce centième match en sélection, le plus beau cadeau, ce sont les joueurs qui me l’ont offert avec cette qualification à la première place », a-t-il confié. Un objectif assumé dès le départ, malgré les doutes apparus après le match nul face à la RDC. Pour Koulibaly, ces critiques étaient prématurées. « C’est dommage que certains aient douté après ce nul contre une grande équipe du Congo. Ils l’ont encore prouvé en battant le Botswana 3-0. La RDC va faire des ravages, j’en suis convaincu. »

Le capitaine sénégalais a salué la prestation collective, notamment la maîtrise affichée malgré l’infériorité numérique après son expulsion. « Malgré mon carton rouge, je pense qu’on a gardé le contrôle du match. On a montré du caractère et de bonnes choses. Dans cette Coupe d’Afrique, tout peut arriver, mais aujourd’hui on a répondu présent. »

Revenant sur un souvenir personnel douloureux face au Bénin, où un carton l’avait pr"
1281686235,2025-12-31,https://fr.allafrica.com/view/group/main/main/id/00095248.html,"# Focus Sur 

 * Pages Focus Sur
 * Tendances

 * * 

Tagged:

 * Afrique
 * Bénin
 * Sénégal
 * Football
 * Sports
 * Afrique de l'Ouest

# CAN 2025 - Le Sénégal s'impose 3-0 face au Bénin et termine leader

[]()

Le Sénégal a conclu la phase de groupes de la Coupe d'Afrique des Nations par une victoire maîtrisée (3-0) face au Bénin, confirmant ainsi son statut de favori de la compétition.

 * Afrique: CAN 2025 - Le Sénégal s'impose 3-0 face au Bénin et termine leader de son groupe 

allAfrica, 31 Décembre 2025

Le Sénégal a conclu la phase de groupes de la Coupe d'Afrique des Nations par une victoire maîtrisée (3-0) face au Bénin, confirmant ainsi son… Plus »

Fédération Sénégalaise de Football

CAN Maroc 2025 : le Sénégal domine le Bénin et termine leader du groupe D

 * Afrique: CAN 2025 - Le Sénégalais Koulibaly, un rouge, mais la fierté pour sa «centième sélection» et pour son «équipe» 

RFI, 31 Décembre 2025

Pour sa centième sélection sous le maillot des Lions du Sénégal, Kalidou Koulibaly a vécu une soirée contrastée, ponctuée… Plus »

 * Afrique: [CAN 2025 - Le Sénégal surclasse le Bénin, 3-0, et conserve la première place du groupe D ](/s"
1281675309,2025-12-31,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,"A suspected oil installation vandal identified as Ossa Wilfred has been arrested by operatives of the Edo State Command of the Nigeria Security and Civil Defence Corps, NSCDC.

DAILY POST reports that the State Commandant of the agency, Akintayo Saidi Ayinla, disclosed this while parading the suspect on Wednesday, December 31, 2025, in Benin City.

Ayinla alleged that the suspect – a casual worker with Gladtrico Company – was arrested on December 25 2025, at about 2:00 pm in connection with the destruction of oil installations at OML 98, Ossiomo Manifold, Ikpoba-Okha Local Government Area of Edo State.

He said the suspect was arrested by operatives of the NSCDC Patrol Team along the CS1 route, Ologbo, while allegedly vandalising an oil wellhead.

The Edo State NSCDC boss who added that three suspects were involved in the criminal act, explained that upon sighting the NSCDC patrol van and the firing of a warning shot, two of the suspects fled the scene, while Ossa Wilfred was apprehended.

Ayinla added that preliminary investigation revealed that one of the fleeing suspects is identified as Kelvin, a casual worker with Lee Engineering at CS1 and a member of the host community.

He also added that a third suspect is believed to be a community member from Ologbo.

He disclosed that efforts are ongoing to apprehend the fleeing suspects and that all those found culpable will be charged to court upon the conclusion of investigation.

Ayinla further stated that the suspect, alongside exhibits recovered at the scene, has been transferred to the State Command for detailed investigation.

He issued a stern warning to economic saboteurs, vandals, and all individuals involved in the destruction of critical national assets to have a change of mind or face the full weight of the law.

Ayinla reaffirmed the Corps’ unwavering commitment to the protection of oil and gas facilities and other critical national infrastructure across Edo State.

The NSCDC commandant also called on host"
1281675553,2025-12-31,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/,"A suspected oil installation vandal identified as Ossa Wilfred has been arrested by operatives of the Edo State Command of the Nigeria Security and Civil Defence Corps, NSCDC.

DAILY POST reports that the State Commandant of the agency, Akintayo Saidi Ayinla, disclosed this while parading the suspect on Wednesday, December 31, 2025, in Benin City.

Ayinla alleged that the suspect – a casual worker with Gladtrico Company – was arrested on December 25 2025, at about 2:00 pm in connection with the destruction of oil installations at OML 98, Ossiomo Manifold, Ikpoba-Okha Local Government Area of Edo State.

He said the suspect was arrested by operatives of the NSCDC Patrol Team along the CS1 route, Ologbo, while allegedly vandalising an oil wellhead.

The Edo State NSCDC boss who added that three suspects were involved in the criminal act, explained that upon sighting the NSCDC patrol van and the firing of a warning shot, two of the suspects fled the scene, while Ossa Wilfred was apprehended.

Ayinla added that preliminary investigation revealed that one of the fleeing suspects is identified as Kelvin, a casual worker with Lee Engineering at CS1 and a member of the host community.

He also added that a third suspect is believed to be a community member from Ologbo.

He disclosed that efforts are ongoing to apprehend the fleeing suspects and that all those found culpable will be charged to court upon the conclusion of investigation.

Ayinla further stated that the suspect, alongside exhibits recovered at the scene, has been transferred to the State Command for detailed investigation.

He issued a stern warning to economic saboteurs, vandals, and all individuals involved in the destruction of critical national assets to have a change of mind or face the full weight of the law.

Ayinla reaffirmed the Corps’ unwavering commitment to the protection of oil and gas facilities and other critical national infrastructure across Edo State.

The NSCDC commandant also called on host"
